tahun,provinsi,jenis_harga,nilai_miliar_rp,sumber,status
2017,Kepulauan Riau,Berlaku,7982.0,BPS PDRB,real
2018,Kepulauan Riau,Berlaku,8127.0,BPS PDRB,real
2019,Kepulauan Riau,Berlaku,8250.0,BPS PDRB,real
2015,Kepulauan Riau,Konstan,5689.0,BPS PDRB,real
2016,Kepulauan Riau,Konstan,6018.0,BPS PDRB,real
2017,Kepulauan Riau,Konstan,5946.0,BPS PDRB,real
2018,Kepulauan Riau,Konstan,5776.0,BPS PDRB,real
2019,Kepulauan Riau,Konstan,5736.0,BPS PDRB,real
2015,DKI Jakarta,Berlaku,1864.0,BPS PDRB,real
2016,DKI Jakarta,Berlaku,1986.0,BPS PDRB,real
2017,DKI Jakarta,Berlaku,2051.0,BPS PDRB,real
2018,DKI Jakarta,Berlaku,2125.0,BPS PDRB,real
2019,DKI Jakarta,Berlaku,2191.0,BPS PDRB,real
2015,DKI Jakarta,Konstan,1375.0,BPS PDRB,real
2016,DKI Jakarta,Konstan,1388.0,BPS PDRB,real
2017,DKI Jakarta,Konstan,1392.0,BPS PDRB,real
2018,DKI Jakarta,Konstan,1394.0,BPS PDRB,real
2019,DKI Jakarta,Konstan,1399.0,BPS PDRB,real
2015,Jawa Barat,Berlaku,132498.0,BPS PDRB,real
2016,Jawa Barat,Berlaku,146768.0,BPS PDRB,real
2017,Jawa Barat,Berlaku,152939.0,BPS PDRB,real
2018,Jawa Barat,Berlaku,170185.0,BPS PDRB,real
2019,Jawa Barat,Berlaku,186477.0,BPS PDRB,real
2015,Jawa Barat,Konstan,92803.0,BPS PDRB,real
2016,Jawa Barat,Konstan,98097.0,BPS PDRB,real
2017,Jawa Barat,Konstan,99669.0,BPS PDRB,real
2018,Jawa Barat,Konstan,101777.0,BPS PDRB,real
2019,Jawa Barat,Konstan,104657.0,BPS PDRB,real
2015,Jawa Tengah,Berlaku,157202.0,BPS PDRB,real
2016,Jawa Tengah,Berlaku,164512.0,BPS PDRB,real
2017,Jawa Tengah,Berlaku,168807.0,BPS PDRB,real
2018,Jawa Tengah,Berlaku,178359.0,BPS PDRB,real
2019,Jawa Tengah,Berlaku,184253.0,BPS PDRB,real
2015,Jawa Tengah,Konstan,113826.0,BPS PDRB,real
2016,Jawa Tengah,Konstan,116331.0,BPS PDRB,real
2017,Jawa Tengah,Konstan,118450.0,BPS PDRB,real
2018,Jawa Tengah,Konstan,121557.0,BPS PDRB,real
2019,Jawa Tengah,Konstan,123214.0,BPS PDRB,real
2015,DI Yogyakarta,Berlaku,10794.0,BPS PDRB,real
2016,DI Yogyakarta,Berlaku,11456.0,BPS PDRB,real
2017,DI Yogyakarta,Berlaku,11933.0,BPS PDRB,real
2018,DI Yogyakarta,Berlaku,12708.0,BPS PDRB,real
2019,DI Yogyakarta,Berlaku,13255.0,BPS PDRB,real
2015,DI Yogyakarta,Konstan,7668.0,BPS PDRB,real
2016,DI Yogyakarta,Konstan,7780.0,BPS PDRB,real
2017,DI Yogyakarta,Konstan,7930.0,BPS PDRB,real
2018,DI Yogyakarta,Konstan,8101.0,BPS PDRB,real
2019,DI Yogyakarta,Konstan,8185.0,BPS PDRB,real
2015,Jawa Timur,Berlaku,230942.0,BPS PDRB,real
2016,Jawa Timur,Berlaku,249454.0,BPS PDRB,real
2017,Jawa Timur,Berlaku,258454.0,BPS PDRB,real
2018,Jawa Timur,Berlaku,260514.0,BPS PDRB,real
2019,Jawa Timur,Berlaku,268772.0,BPS PDRB,real
2015,Jawa Timur,Konstan,160889.0,BPS PDRB,real
2016,Jawa Timur,Konstan,164763.0,BPS PDRB,real
2017,Jawa Timur,Konstan,167361.0,BPS PDRB,real
2018,Jawa Timur,Konstan,163861.0,BPS PDRB,real
2019,Jawa Timur,Konstan,165665.0,BPS PDRB,real
2015,Banten,Berlaku,28122.0,BPS PDRB,real
2016,Banten,Berlaku,31185.0,BPS PDRB,real
2017,Banten,Berlaku,33266.0,BPS PDRB,real
2018,Banten,Berlaku,35574.0,BPS PDRB,real
2019,Banten,Berlaku,37022.0,BPS PDRB,real
2015,Banten,Konstan,20743.0,BPS PDRB,real
2016,Banten,Konstan,22109.0,BPS PDRB,real
2017,Banten,Konstan,23056.0,BPS PDRB,real
2018,Banten,Konstan,23881.0,BPS PDRB,real
2019,Banten,Konstan,24408.0,BPS PDRB,real
2015,Bali,Berlaku,25844.0,BPS PDRB,real
2016,Bali,Berlaku,28144.0,BPS PDRB,real
2017,Bali,Berlaku,29782.0,BPS PDRB,real
2018,Bali,Berlaku,32211.0,BPS PDRB,real
2019,Bali,Berlaku,34175.0,BPS PDRB,real
2015,Bali,Konstan,18637.0,BPS PDRB,real
2016,Bali,Konstan,19296.0,BPS PDRB,real
2017,Bali,Konstan,19822.0,BPS PDRB,real
2018,Bali,Konstan,20824.0,BPS PDRB,real
2019,Bali,Konstan,21614.0,BPS PDRB,real
2015,Nusa Tenggara Barat,Berlaku,22480.0,BPS PDRB,real
2016,Nusa Tenggara Barat,Berlaku,24662.0,BPS PDRB,real
2017,Nusa Tenggara Barat,Berlaku,27183.0,BPS PDRB,real
2018,Nusa Tenggara Barat,Berlaku,29067.0,BPS PDRB,real
2019,Nusa Tenggara Barat,Berlaku,30369.0,BPS PDRB,real
2015,Nusa Tenggara Barat,Konstan,18965.0,BPS PDRB,real
2016,Nusa Tenggara Barat,Konstan,19565.0,BPS PDRB,real
2017,Nusa Tenggara Barat,Konstan,20843.0,BPS PDRB,real
2018,Nusa Tenggara Barat,Konstan,21248.0,BPS PDRB,real
2019,Nusa Tenggara Barat,Konstan,21570.0,BPS PDRB,real
2015,Nusa Tenggara Timur,Berlaku,22752.0,BPS PDRB,real
2016,Nusa Tenggara Timur,Berlaku,24309.0,BPS PDRB,real
2017,Nusa Tenggara Timur,Berlaku,26148.0,BPS PDRB,real
2018,Nusa Tenggara Timur,Berlaku,28109.0,BPS PDRB,real
2019,Nusa Tenggara Timur,Berlaku,29930.0,BPS PDRB,real
2015,Nusa Tenggara Timur,Konstan,16123.0,BPS PDRB,real
2016,Nusa Tenggara Timur,Konstan,16513.0,BPS PDRB,real
2017,Nusa Tenggara Timur,Konstan,17329.0,BPS PDRB,real
2018,Nusa Tenggara Timur,Konstan,17854.0,BPS PDRB,real
2019,Nusa Tenggara Timur,Konstan,18523.0,BPS PDRB,real
2015,Kalimantan Barat,Berlaku,30127.0,BPS PDRB,real
2016,Kalimantan Barat,Berlaku,32628.0,BPS PDRB,real
2017,Kalimantan Barat,Berlaku,36027.0,BPS PDRB,real
2018,Kalimantan Barat,Berlaku,39286.0,BPS PDRB,real
2019,Kalimantan Barat,Berlaku,42854.0,BPS PDRB,real
2015,Kalimantan Barat,Konstan,25572.0,BPS PDRB,real
2016,Kalimantan Barat,Konstan,26619.0,BPS PDRB,real
2017,Kalimantan Barat,Konstan,28358.0,BPS PDRB,real
2018,Kalimantan Barat,Konstan,30251.0,BPS PDRB,real
2019,Kalimantan Barat,Konstan,32020.0,BPS PDRB,real
2015,Kalimantan Tengah,Berlaku,23016.0,BPS PDRB,real
2016,Kalimantan Tengah,Berlaku,24532.0,BPS PDRB,real
2017,Kalimantan Tengah,Berlaku,26374.0,BPS PDRB,real
2018,Kalimantan Tengah,Berlaku,27629.0,BPS PDRB,real
2019,Kalimantan Tengah,Berlaku,30098.0,BPS PDRB,real
2015,Kalimantan Tengah,Konstan,17032.0,BPS PDRB,real
2016,Kalimantan Tengah,Konstan,17686.0,BPS PDRB,real
2017,Kalimantan Tengah,Konstan,18514.0,BPS PDRB,real
2018,Kalimantan Tengah,Konstan,19813.0,BPS PDRB,real
2019,Kalimantan Tengah,Konstan,21186.0,BPS PDRB,real
2015,Kalimantan Selatan,Berlaku,20559.0,BPS PDRB,real
2016,Kalimantan Selatan,Berlaku,21794.0,BPS PDRB,real
2017,Kalimantan Selatan,Berlaku,23171.0,BPS PDRB,real
2018,Kalimantan Selatan,Berlaku,24470.0,BPS PDRB,real
2019,Kalimantan Selatan,Berlaku,25953.0,BPS PDRB,real
2015,Kalimantan Selatan,Konstan,16013.0,BPS PDRB,real
2016,Kalimantan Selatan,Konstan,16601.0,BPS PDRB,real
2017,Kalimantan Selatan,Konstan,17280.0,BPS PDRB,real
2018,Kalimantan Selatan,Konstan,17929.0,BPS PDRB,real
2019,Kalimantan Selatan,Konstan,18607.0,BPS PDRB,real
2015,Kalimantan Timur,Berlaku,38979.0,BPS PDRB,real
2016,Kalimantan Timur,Berlaku,41847.0,BPS PDRB,real
2017,Kalimantan Timur,Berlaku,47212.0,BPS PDRB,real
2018,Kalimantan Timur,Berlaku,50288.0,BPS PDRB,real
2019,Kalimantan Timur,Berlaku,51796.0,BPS PDRB,real
2015,Kalimantan Timur,Konstan,28507.0,BPS PDRB,real
2016,Kalimantan Timur,Konstan,28639.0,BPS PDRB,real
2017,Kalimantan Timur,Konstan,30261.0,BPS PDRB,real
2018,Kalimantan Timur,Konstan,32119.0,BPS PDRB,real
2019,Kalimantan Timur,Konstan,33364.0,BPS PDRB,real
2015,Kalimantan Utara,Berlaku,10599.0,BPS PDRB,real
2016,Kalimantan Utara,Berlaku,11568.0,BPS PDRB,real
2017,Kalimantan Utara,Berlaku,12548.0,BPS PDRB,real
2018,Kalimantan Utara,Berlaku,13797.0,BPS PDRB,real
2019,Kalimantan Utara,Berlaku,15474.0,BPS PDRB,real
2015,Kalimantan Utara,Konstan,8574.0,BPS PDRB,real
2016,Kalimantan Utara,Konstan,9022.0,BPS PDRB,real
2017,Kalimantan Utara,Konstan,9423.0,BPS PDRB,real
2018,Kalimantan Utara,Konstan,9984.0,BPS PDRB,real
2019,Kalimantan Utara,Konstan,10560.0,BPS PDRB,real
2015,Sulawesi Utara,Berlaku,19769.0,BPS PDRB,real
2016,Sulawesi Utara,Berlaku,21828.0,BPS PDRB,real
2017,Sulawesi Utara,Berlaku,23713.0,BPS PDRB,real
2018,Sulawesi Utara,Berlaku,25051.0,BPS PDRB,real
2019,Sulawesi Utara,Berlaku,27119.0,BPS PDRB,real
2015,Sulawesi Utara,Konstan,14606.0,BPS PDRB,real
2016,Sulawesi Utara,Konstan,15142.0,BPS PDRB,real
2017,Sulawesi Utara,Konstan,15814.0,BPS PDRB,real
2018,Sulawesi Utara,Konstan,16375.0,BPS PDRB,real
2019,Sulawesi Utara,Konstan,17339.0,BPS PDRB,real
2015,Sulawesi Tengah,Berlaku,33644.0,BPS PDRB,real
2016,Sulawesi Tengah,Berlaku,35538.0,BPS PDRB,real
2017,Sulawesi Tengah,Berlaku,38823.0,BPS PDRB,real
2018,Sulawesi Tengah,Berlaku,41766.0,BPS PDRB,real
2019,Sulawesi Tengah,Berlaku,43205.0,BPS PDRB,real
2015,Sulawesi Tengah,Konstan,26298.0,BPS PDRB,real
2016,Sulawesi Tengah,Konstan,26929.0,BPS PDRB,real
2017,Sulawesi Tengah,Konstan,28131.0,BPS PDRB,real
2018,Sulawesi Tengah,Konstan,29346.0,BPS PDRB,real
2019,Sulawesi Tengah,Konstan,29992.0,BPS PDRB,real
2015,Sulawesi Selatan,Berlaku,78782.0,BPS PDRB,real
2016,Sulawesi Selatan,Berlaku,88345.0,BPS PDRB,real
2017,Sulawesi Selatan,Berlaku,96110.0,BPS PDRB,real
2018,Sulawesi Selatan,Berlaku,103956.0,BPS PDRB,real
2019,Sulawesi Selatan,Berlaku,107420.0,BPS PDRB,real
2015,Sulawesi Selatan,Konstan,54099.0,BPS PDRB,real
2016,Sulawesi Selatan,Konstan,58351.0,BPS PDRB,real
2017,Sulawesi Selatan,Konstan,61597.0,BPS PDRB,real
2018,Sulawesi Selatan,Konstan,64844.0,BPS PDRB,real
2019,Sulawesi Selatan,Konstan,66659.0,BPS PDRB,real
2015,Sulawesi Tenggara,Berlaku,21076.0,BPS PDRB,real
2016,Sulawesi Tenggara,Berlaku,23581.0,BPS PDRB,real
2017,Sulawesi Tenggara,Berlaku,25869.0,BPS PDRB,real
2018,Sulawesi Tenggara,Berlaku,28293.0,BPS PDRB,real
2019,Sulawesi Tenggara,Berlaku,30672.0,BPS PDRB,real
2015,Sulawesi Tenggara,Konstan,16970.0,BPS PDRB,real
2016,Sulawesi Tenggara,Konstan,18270.0,BPS PDRB,real
2017,Sulawesi Tenggara,Konstan,19323.0,BPS PDRB,real
2018,Sulawesi Tenggara,Konstan,20555.0,BPS PDRB,real
2019,Sulawesi Tenggara,Konstan,21587.0,BPS PDRB,real
2015,Gorontalo,Berlaku,10543.0,BPS PDRB,real
2016,Gorontalo,Berlaku,11799.0,BPS PDRB,real
2017,Gorontalo,Berlaku,13127.0,BPS PDRB,real
2018,Gorontalo,Berlaku,14584.0,BPS PDRB,real
2019,Gorontalo,Berlaku,16022.0,BPS PDRB,real
2015,Gorontalo,Konstan,8025.0,BPS PDRB,real
2016,Gorontalo,Konstan,8540.0,BPS PDRB,real
2017,Gorontalo,Konstan,9314.0,BPS PDRB,real
2018,Gorontalo,Konstan,10022.0,BPS PDRB,real
2019,Gorontalo,Konstan,10656.0,BPS PDRB,real
2015,Sulawesi Barat,Berlaku,13851.0,BPS PDRB,real
2016,Sulawesi Barat,Berlaku,14908.0,BPS PDRB,real
2017,Sulawesi Barat,Berlaku,16400.0,BPS PDRB,real
2018,Sulawesi Barat,Berlaku,18323.0,BPS PDRB,real
2019,Sulawesi Barat,Berlaku,19179.0,BPS PDRB,real
2015,Sulawesi Barat,Konstan,10314.0,BPS PDRB,real
2016,Sulawesi Barat,Konstan,10734.0,BPS PDRB,real
2017,Sulawesi Barat,Konstan,11433.0,BPS PDRB,real
2018,Sulawesi Barat,Konstan,12131.0,BPS PDRB,real
2019,Sulawesi Barat,Konstan,12692.0,BPS PDRB,real
2015,Maluku,Berlaku,8277.0,BPS PDRB,real
2016,Maluku,Berlaku,8845.0,BPS PDRB,real
2017,Maluku,Berlaku,9492.0,BPS PDRB,real
2018,Maluku,Berlaku,10045.0,BPS PDRB,real
2019,Maluku,Berlaku,10818.0,BPS PDRB,real
2015,Maluku,Konstan,5908.0,BPS PDRB,real
2016,Maluku,Konstan,6188.0,BPS PDRB,real
2017,Maluku,Konstan,6559.0,BPS PDRB,real
2018,Maluku,Konstan,6859.0,BPS PDRB,real
2019,Maluku,Konstan,7256.0,BPS PDRB,real
2015,Maluku Utara,Berlaku,6617.0,BPS PDRB,real
2016,Maluku Utara,Berlaku,7276.0,BPS PDRB,real
2017,Maluku Utara,Berlaku,7728.0,BPS PDRB,real
2018,Maluku Utara,Berlaku,8247.0,BPS PDRB,real
2019,Maluku Utara,Berlaku,8704.0,BPS PDRB,real
2015,Maluku Utara,Konstan,4743.0,BPS PDRB,real
2016,Maluku Utara,Konstan,4944.0,BPS PDRB,real
2017,Maluku Utara,Konstan,5100.0,BPS PDRB,real
2018,Maluku Utara,Konstan,5310.0,BPS PDRB,real
2019,Maluku Utara,Konstan,5524.0,BPS PDRB,real
2015,Papua Barat,Berlaku,6834.0,BPS PDRB,real
2016,Papua Barat,Berlaku,7293.0,BPS PDRB,real
2017,Papua Barat,Berlaku,7910.0,BPS PDRB,real
2018,Papua Barat,Berlaku,8329.0,BPS PDRB,real
2019,Papua Barat,Berlaku,8895.0,BPS PDRB,real
2015,Papua Barat,Konstan,5483.0,BPS PDRB,real
2016,Papua Barat,Konstan,5599.0,BPS PDRB,real
2017,Papua Barat,Konstan,5927.0,BPS PDRB,real
2018,Papua Barat,Konstan,6057.0,BPS PDRB,real
2019,Papua Barat,Konstan,6259.0,BPS PDRB,real
2015,Papua,Berlaku,20004.0,BPS PDRB,real
2016,Papua,Berlaku,21308.0,BPS PDRB,real
2017,Papua,Berlaku,22275.0,BPS PDRB,real
2018,Papua,Berlaku,23720.0,BPS PDRB,real
2019,Papua,Berlaku,24193.0,BPS PDRB,real
2015,Papua,Konstan,15193.0,BPS PDRB,real
2016,Papua,Konstan,15462.0,BPS PDRB,real
2017,Papua,Konstan,16070.0,BPS PDRB,real
2018,Papua,Konstan,16577.0,BPS PDRB,real
2019,Papua,Konstan,16618.0,BPS PDRB,real
2014,Aceh,Berlaku,34377.0,BPS PDRB,real
2014,Aceh,Konstan,29691.0,BPS PDRB,real
2014,Sumatera Utara,Berlaku,121419.0,BPS PDRB,real
2014,Sumatera Utara,Konstan,104263.0,BPS PDRB,real
2014,Sumatera Barat,Berlaku,41224.0,BPS PDRB,real
2014,Sumatera Barat,Konstan,32151.0,BPS PDRB,real
2014,Riau,Berlaku,133550.0,BPS PDRB,real
2014,Riau,Konstan,108498.0,BPS PDRB,real
2014,Jambi,Berlaku,37968.0,BPS PDRB,real
2014,Jambi,Konstan,31145.0,BPS PDRB,real
2014,Sumatera Selatan,Berlaku,54406.0,BPS PDRB,real
2014,Sumatera Selatan,Konstan,46612.0,BPS PDRB,real
2014,Bengkulu,Berlaku,14272.0,BPS PDRB,real
2014,Bengkulu,Konstan,10950.0,BPS PDRB,real
2014,Lampung,Berlaku,75444.0,BPS PDRB,real
2014,Lampung,Konstan,61595.0,BPS PDRB,real
2014,Kepulauan Bangka Belitung,Berlaku,10837.0,BPS PDRB,real
2014,Kepulauan Bangka Belitung,Konstan,8254.0,BPS PDRB,real
2014,Kepulauan Riau,Berlaku,6450.0,BPS PDRB,real
2014,Kepulauan Riau,Konstan,5378.0,BPS PDRB,real
2014,DKI Jakarta,Berlaku,1719.0,BPS PDRB,real
2014,DKI Jakarta,Konstan,1360.0,BPS PDRB,real
2014,Jawa Barat,Berlaku,120787.0,BPS PDRB,real
2014,Jawa Barat,Konstan,92654.0,BPS PDRB,real
2014,Jawa Tengah,Berlaku,140435.0,BPS PDRB,real
2014,Jawa Tengah,Konstan,107793.0,BPS PDRB,real
2014,DI Yogyakarta,Berlaku,9769.0,BPS PDRB,real
2014,DI Yogyakarta,Konstan,7509.0,BPS PDRB,real
2014,Jawa Timur,Berlaku,208614.0,BPS PDRB,real
2014,Jawa Timur,Konstan,155784.0,BPS PDRB,real
2014,Banten,Berlaku,24944.0,BPS PDRB,real
2014,Banten,Konstan,19457.0,BPS PDRB,real
2014,Bali,Berlaku,22912.0,BPS PDRB,real
2014,Bali,Konstan,18151.0,BPS PDRB,real
2014,Nusa Tenggara Barat,Berlaku,19468.0,BPS PDRB,real
2014,Nusa Tenggara Barat,Konstan,17702.0,BPS PDRB,real
2014,Nusa Tenggara Timur,Berlaku,20456.0,BPS PDRB,real
2014,Nusa Tenggara Timur,Konstan,15614.0,BPS PDRB,real
2014,Kalimantan Barat,Berlaku,28529.0,BPS PDRB,real
2014,Kalimantan Barat,Konstan,24967.0,BPS PDRB,real
2014,Kalimantan Tengah,Berlaku,21181.0,BPS PDRB,real
2014,Kalimantan Tengah,Konstan,16080.0,BPS PDRB,real
2014,Kalimantan Selatan,Berlaku,18753.0,BPS PDRB,real
2014,Kalimantan Selatan,Konstan,15636.0,BPS PDRB,real
2014,Kalimantan Timur,Berlaku,36948.0,BPS PDRB,real
2014,Kalimantan Timur,Konstan,27267.0,BPS PDRB,real
2014,Kalimantan Utara,Berlaku,10121.0,BPS PDRB,real
2014,Kalimantan Utara,Konstan,8021.0,BPS PDRB,real
2014,Sulawesi Utara,Berlaku,17800.0,BPS PDRB,real
2014,Sulawesi Utara,Konstan,14243.0,BPS PDRB,real
2014,Sulawesi Tengah,Berlaku,31036.0,BPS PDRB,real
2014,Sulawesi Tengah,Konstan,24729.0,BPS PDRB,real
2014,Sulawesi Selatan,Berlaku,68465.0,BPS PDRB,real
2014,Sulawesi Selatan,Konstan,51102.0,BPS PDRB,real
2014,Sulawesi Tenggara,Berlaku,20198.0,BPS PDRB,real
2014,Sulawesi Tenggara,Konstan,16952.0,BPS PDRB,real
2014,Gorontalo,Berlaku,9512.0,BPS PDRB,real
2014,Gorontalo,Konstan,7698.0,BPS PDRB,real
2014,Sulawesi Barat,Berlaku,12301.0,BPS PDRB,real
2014,Sulawesi Barat,Konstan,9753.0,BPS PDRB,real
2014,Maluku,Berlaku,7909.0,BPS PDRB,real
2014,Maluku,Konstan,5835.0,BPS PDRB,real
2014,Maluku Utara,Berlaku,6196.0,BPS PDRB,real
2014,Maluku Utara,Konstan,4663.0,BPS PDRB,real
2014,Papua Barat,Berlaku,6273.0,BPS PDRB,real
2014,Papua Barat,Konstan,5344.0,BPS PDRB,real
2014,Papua,Berlaku,17357.0,BPS PDRB,real
2014,Papua,Konstan,14433.0,BPS PDRB,real
