tahun,provinsi,jenis_harga,nilai_miliar_rp,sumber,status
2024,Kepulauan Bangka Belitung,Konstan,11635.0,BPS PDRB,real
2020,Kepulauan Riau,Berlaku,8047.0,BPS PDRB,real
2021,Kepulauan Riau,Berlaku,8462.0,BPS PDRB,real
2022,Kepulauan Riau,Berlaku,9371.0,BPS PDRB,real
2023,Kepulauan Riau,Berlaku,9899.0,BPS PDRB,real
2024,Kepulauan Riau,Berlaku,10356.0,BPS PDRB,real
2020,Kepulauan Riau,Konstan,5467.0,BPS PDRB,real
2021,Kepulauan Riau,Konstan,5322.0,BPS PDRB,real
2022,Kepulauan Riau,Konstan,5602.0,BPS PDRB,real
2023,Kepulauan Riau,Konstan,5688.0,BPS PDRB,real
2024,Kepulauan Riau,Konstan,5720.0,BPS PDRB,real
2020,DKI Jakarta,Berlaku,2237.0,BPS PDRB,real
2021,DKI Jakarta,Berlaku,2377.0,BPS PDRB,real
2022,DKI Jakarta,Berlaku,2531.0,BPS PDRB,real
2023,DKI Jakarta,Berlaku,2515.0,BPS PDRB,real
2024,DKI Jakarta,Berlaku,2762.0,BPS PDRB,real
2020,DKI Jakarta,Konstan,1405.0,BPS PDRB,real
2021,DKI Jakarta,Konstan,1463.0,BPS PDRB,real
2022,DKI Jakarta,Konstan,1501.0,BPS PDRB,real
2023,DKI Jakarta,Konstan,1442.0,BPS PDRB,real
2024,DKI Jakarta,Konstan,1517.0,BPS PDRB,real
2020,Jawa Barat,Berlaku,192112.0,BPS PDRB,real
2021,Jawa Barat,Berlaku,188594.0,BPS PDRB,real
2022,Jawa Barat,Berlaku,207717.0,BPS PDRB,real
2023,Jawa Barat,Berlaku,221651.0,BPS PDRB,real
2024,Jawa Barat,Berlaku,237632.0,BPS PDRB,real
2020,Jawa Barat,Konstan,107001.0,BPS PDRB,real
2021,Jawa Barat,Konstan,108407.0,BPS PDRB,real
2022,Jawa Barat,Konstan,113186.0,BPS PDRB,real
2023,Jawa Barat,Konstan,113309.0,BPS PDRB,real
2024,Jawa Barat,Konstan,115105.0,BPS PDRB,real
2020,Jawa Tengah,Berlaku,192607.0,BPS PDRB,real
2021,Jawa Tengah,Berlaku,196835.0,BPS PDRB,real
2022,Jawa Tengah,Berlaku,211491.0,BPS PDRB,real
2023,Jawa Tengah,Berlaku,224386.0,BPS PDRB,real
2024,Jawa Tengah,Berlaku,236883.0,BPS PDRB,real
2020,Jawa Tengah,Konstan,126112.0,BPS PDRB,real
2021,Jawa Tengah,Konstan,127066.0,BPS PDRB,real
2022,Jawa Tengah,Konstan,130763.0,BPS PDRB,real
2023,Jawa Tengah,Konstan,131346.0,BPS PDRB,real
