tahun,provinsi,luas_panen_ha,produksi_ton
2023,NUSA TENGGARA TIMUR,101512.09,261854.94
2023,PAPUA,798.27,3428.88
2023,PAPUA BARAT,735.0,3311.21
2023,PAPUA BARAT DAYA,274.82,1412.21
2023,PAPUA PEGUNUNGAN,66.31,278.85
2023,PAPUA SELATAN,15.32,69.18
2023,PAPUA TENGAH,2092.54,9081.61
2023,RIAU,216.35,688.71
2023,SULAWESI BARAT,5617.09,29097.91
2023,SULAWESI SELATAN,181800.85,1025516.26
2023,SULAWESI TENGAH,18002.68,72981.58
2023,SULAWESI TENGGARA,18987.59,69512.45
2023,SULAWESI UTARA,25262.2,83046.33
2023,SUMATERA BARAT,79630.77,495223.45
2023,SUMATERA SELATAN,46247.92,284643.31
2023,SUMATERA UTARA,211105.36,1343290.59
2024,ACEH,10090.26,52249.4
2024,BALI,7669.79,39055.43
2024,BANTEN,2112.0,12677.14
2024,BENGKULU,9861.27,62876.83
2024,DI YOGYAKARTA,37546.96,189378.3
2024,GORONTALO,128230.6,625972.1
2024,JAMBI,1514.03,10530.87
2024,JAWA BARAT,77992.51,564290.8
2024,JAWA TENGAH,412338.4,2426509.0
2024,JAWA TIMUR,739157.3,4595792.0
2024,KALIMANTAN BARAT,19449.93,90419.41
2024,KALIMANTAN SELATAN,18766.21,109438.4
2024,KALIMANTAN TENGAH,8555.57,44638.26
2024,KALIMANTAN TIMUR,919.3,3955.26
2024,KALIMANTAN UTARA,209.95,1058.24
2024,KEP. RIAU,2.49,12.0
2024,LAMPUNG,170016.6,1107739.0
2024,MALUKU,2239.28,7582.6
2024,MALUKU UTARA,1316.6,4530.02
2024,NUSA TENGGARA BARAT,173759.8,1209784.0
2024,NUSA TENGGARA TIMUR,108816.1,293052.3
2024,PAPUA,990.34,3913.44
2024,PAPUA BARAT,748.73,3720.1
2024,PAPUA BARAT DAYA,228.28,1188.57
2024,PAPUA PEGUNUNGAN,48.23,247.07
2024,PAPUA SELATAN,408.72,2098.29
2024,PAPUA TENGAH,1243.9,5036.04
2024,RIAU,327.17,1139.41
2024,SULAWESI BARAT,6019.31,30295.93
2024,SULAWESI SELATAN,191012.1,1131504.0
2024,SULAWESI TENGAH,19061.15,84798.45
2024,SULAWESI TENGGARA,20135.0,79444.29
2024,SULAWESI UTARA,30190.23,112771.9
2024,SUMATERA BARAT,83918.48,518315.8
2024,SUMATERA SELATAN,53171.15,338998.6
2024,SUMATERA UTARA,210586.1,1373900.0
