tahun,provinsi,ntp,sumber,status
2021,Sulawesi Barat,122.04,BPS NTP (2018=100),real
2021,Sulawesi Selatan,98.55,BPS NTP (2018=100),real
2021,Sulawesi Tengah,99.72,BPS NTP (2018=100),real
2021,Sulawesi Tenggara,99.16,BPS NTP (2018=100),real
2021,Sulawesi Utara,106.79,BPS NTP (2018=100),real
2021,Sumatera Barat,107.61,BPS NTP (2018=100),real
2021,Sumatera Selatan,107.8,BPS NTP (2018=100),real
2021,Sumatera Utara,119.06,BPS NTP (2018=100),real
2022,Aceh,107.46,BPS NTP (2018=100),real
2022,Bali,95.43,BPS NTP (2018=100),real
2022,Banten,99.53,BPS NTP (2018=100),real
2022,Bengkulu,134.01,BPS NTP (2018=100),real
2022,DI Yogyakarta,98.4,BPS NTP (2018=100),real
2022,DKI Jakarta,103.71,BPS NTP (2018=100),real
2022,Gorontalo,103.33,BPS NTP (2018=100),real
2022,Jambi,135.08,BPS NTP (2018=100),real
2022,Jawa Barat,99.75,BPS NTP (2018=100),real
2022,Jawa Tengah,104.08,BPS NTP (2018=100),real
2022,Jawa Timur,102.49,BPS NTP (2018=100),real
2022,Kalimantan Barat,141.34,BPS NTP (2018=100),real
2022,Kalimantan Selatan,107.33,BPS NTP (2018=100),real
2022,Kalimantan Tengah,121.6,BPS NTP (2018=100),real
2022,Kalimantan Timur,126.03,BPS NTP (2018=100),real
2022,Kalimantan Utara,109.0,BPS NTP (2018=100),real
2022,Kepulauan Bangka Belitung,125.95,BPS NTP (2018=100),real
2022,Kepulauan Riau,106.79,BPS NTP (2018=100),real
2022,Lampung,104.3,BPS NTP (2018=100),real
2022,Maluku,104.85,BPS NTP (2018=100),real
2022,Maluku Utara,106.44,BPS NTP (2018=100),real
2022,Nusa Tenggara Barat,105.7,BPS NTP (2018=100),real
2022,Nusa Tenggara Timur,95.41,BPS NTP (2018=100),real
2022,Papua,100.12,BPS NTP (2018=100),real
2022,Papua Barat,100.62,BPS NTP (2018=100),real
2022,Riau,144.19,BPS NTP (2018=100),real
2022,Sulawesi Barat,117.72,BPS NTP (2018=100),real
2022,Sulawesi Selatan,100.39,BPS NTP (2018=100),real
2022,Sulawesi Tengah,101.57,BPS NTP (2018=100),real
2022,Sulawesi Tenggara,100.14,BPS NTP (2018=100),real
2022,Sulawesi Utara,108.92,BPS NTP (2018=100),real
2022,Sumatera Barat,110.37,BPS NTP (2018=100),real
2022,Sumatera Selatan,107.7,BPS NTP (2018=100),real
2022,Sumatera Utara,121.73,BPS NTP (2018=100),real
2023,Aceh,114.35,BPS NTP (2018=100),real
2023,Bali,99.5,BPS NTP (2018=100),real
2023,Banten,106.09,BPS NTP (2018=100),real
2023,Bengkulu,146.91,BPS NTP (2018=100),real
2023,DI Yogyakarta,103.68,BPS NTP (2018=100),real
2023,DKI Jakarta,107.7,BPS NTP (2018=100),real
2023,Gorontalo,106.19,BPS NTP (2018=100),real
2023,Jambi,138.11,BPS NTP (2018=100),real
2023,Jawa Barat,107.46,BPS NTP (2018=100),real
2023,Jawa Tengah,111.14,BPS NTP (2018=100),real
2023,Jawa Timur,109.47,BPS NTP (2018=100),real
2023,Kalimantan Barat,139.03,BPS NTP (2018=100),real
2023,Kalimantan Selatan,109.48,BPS NTP (2018=100),real
2023,Kalimantan Tengah,118.57,BPS NTP (2018=100),real
2023,Kalimantan Timur,129.04,BPS NTP (2018=100),real
2023,Kalimantan Utara,111.92,BPS NTP (2018=100),real
2023,Kepulauan Bangka Belitung,118.32,BPS NTP (2018=100),real
2023,Kepulauan Riau,104.49,BPS NTP (2018=100),real
2023,Lampung,109.36,BPS NTP (2018=100),real
2023,Maluku,104.41,BPS NTP (2018=100),real
2023,Maluku Utara,103.37,BPS NTP (2018=100),real
2023,Nusa Tenggara Barat,115.47,BPS NTP (2018=100),real
2023,Nusa Tenggara Timur,96.8,BPS NTP (2018=100),real
2023,Papua,100.19,BPS NTP (2018=100),real
2023,Papua Barat,99.83,BPS NTP (2018=100),real
2023,Riau,152.93,BPS NTP (2018=100),real
2023,Sulawesi Barat,121.47,BPS NTP (2018=100),real
2023,Sulawesi Selatan,107.93,BPS NTP (2018=100),real
2023,Sulawesi Tengah,106.35,BPS NTP (2018=100),real
2023,Sulawesi Tenggara,101.97,BPS NTP (2018=100),real
2023,Sulawesi Utara,109.22,BPS NTP (2018=100),real
2023,Sumatera Barat,110.28,BPS NTP (2018=100),real
2023,Sumatera Selatan,105.1,BPS NTP (2018=100),real
2023,Sumatera Utara,125.32,BPS NTP (2018=100),real
2024,Aceh,119.26,BPS NTP (2018=100),real
