provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,14.1
Bali,Pertanian (BPS Sektor),,51.8
Banten,Pertanian (BPS Sektor),,11.9
Bengkulu,Pertanian (BPS Sektor),,4.7
DI Yogyakarta,Pertanian (BPS Sektor),,1.4
DKI Jakarta,Pertanian (BPS Sektor),,340.3
Gorontalo,Pertanian (BPS Sektor),,0.0175
Jambi,Pertanian (BPS Sektor),,114.8
Jawa Barat,Pertanian (BPS Sektor),,65.8
Jawa Tengah,Pertanian (BPS Sektor),,87.6
Jawa Timur,Pertanian (BPS Sektor),,683.3
Kalimantan Barat,Pertanian (BPS Sektor),,23.9
Kalimantan Selatan,Pertanian (BPS Sektor),,2.7
Kalimantan Tengah,Pertanian (BPS Sektor),,7.7
Kalimantan Timur,Pertanian (BPS Sektor),,8.1
Kalimantan Utara,Pertanian (BPS Sektor),,41.1
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,77.8
Kepulauan Riau,Pertanian (BPS Sektor),,92.6
Lampung,Pertanian (BPS Sektor),,686.5
Maluku,Pertanian (BPS Sektor),,3.289
Maluku Utara,Pertanian (BPS Sektor),,0.025500000000000002
Nusa Tenggara Barat,Pertanian (BPS Sektor),,8.6
Nusa Tenggara Timur,Pertanian (BPS Sektor),,10.4
Papua,Pertanian (BPS Sektor),,0.2
Papua Barat,Pertanian (BPS Sektor),,0.005
Riau,Pertanian (BPS Sektor),,63.3
Sulawesi Barat,Pertanian (BPS Sektor),,2.1
Sulawesi Selatan,Pertanian (BPS Sektor),,189.6
Sulawesi Tengah,Pertanian (BPS Sektor),,2.8
Sulawesi Tenggara,Pertanian (BPS Sektor),,3.1
Sulawesi Utara,Pertanian (BPS Sektor),,15.8
Sumatera Barat,Pertanian (BPS Sektor),,53.6
Sumatera Selatan,Pertanian (BPS Sektor),,62.3
Sumatera Utara,Pertanian (BPS Sektor),,615.4
