provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,12.3
Bali,Pertanian (BPS Sektor),,51.694900000000004
Banten,Pertanian (BPS Sektor),,5.4415000000000004
Bengkulu,Pertanian (BPS Sektor),,7.5
DI Yogyakarta,Pertanian (BPS Sektor),,1.7
DKI Jakarta,Pertanian (BPS Sektor),,330.3
Jambi,Pertanian (BPS Sektor),,112.9
Jawa Barat,Pertanian (BPS Sektor),,66.7
Jawa Tengah,Pertanian (BPS Sektor),,87.6
Jawa Timur,Pertanian (BPS Sektor),,666.8
Kalimantan Barat,Pertanian (BPS Sektor),,56.92
Kalimantan Selatan,Pertanian (BPS Sektor),,2.4
Kalimantan Tengah,Pertanian (BPS Sektor),,5.1
Kalimantan Timur,Pertanian (BPS Sektor),,13.9
Kalimantan Utara,Pertanian (BPS Sektor),,37.4
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,103.5
Kepulauan Riau,Pertanian (BPS Sektor),,133.7
Lampung,Pertanian (BPS Sektor),,915.4
Maluku,Pertanian (BPS Sektor),,8.0282
Maluku Utara,Pertanian (BPS Sektor),,0.0016
Nusa Tenggara Barat,Pertanian (BPS Sektor),,32.5
Nusa Tenggara Timur,Pertanian (BPS Sektor),,-0.01472
Papua,Pertanian (BPS Sektor),,0.0008
Papua Barat,Pertanian (BPS Sektor),,5.2
Riau,Pertanian (BPS Sektor),,63.3
Sulawesi Selatan,Pertanian (BPS Sektor),,235.5
Sulawesi Tengah,Pertanian (BPS Sektor),,4.6
Sulawesi Tenggara,Pertanian (BPS Sektor),,2.7
Sulawesi Utara,Pertanian (BPS Sektor),,21.5
Sumatera Barat,Pertanian (BPS Sektor),,53.4
Sumatera Selatan,Pertanian (BPS Sektor),,53.7
Sumatera Utara,Pertanian (BPS Sektor),,670.3
