provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,16.4
Bali,Pertanian (BPS Sektor),,60.2689
Banten,Pertanian (BPS Sektor),,13.222100000000001
Bengkulu,Pertanian (BPS Sektor),,7.5
DI Yogyakarta,Pertanian (BPS Sektor),,1.3026
DKI Jakarta,Pertanian (BPS Sektor),,-18.54
Gorontalo,Pertanian (BPS Sektor),,0.0
Jambi,Pertanian (BPS Sektor),,69.4
Jawa Barat,Pertanian (BPS Sektor),,58.95
Jawa Tengah,Pertanian (BPS Sektor),,116.0517
Jawa Timur,Pertanian (BPS Sektor),,664.4
Kalimantan Barat,Pertanian (BPS Sektor),,13.3
Kalimantan Selatan,Pertanian (BPS Sektor),,7.4
Kalimantan Tengah,Pertanian (BPS Sektor),,2.5
Kalimantan Timur,Pertanian (BPS Sektor),,13.7
Kalimantan Utara,Pertanian (BPS Sektor),,41.1
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,31.0
Kepulauan Riau,Pertanian (BPS Sektor),,-24.2
Lampung,Pertanian (BPS Sektor),,618.7
Nusa Tenggara Barat,Pertanian (BPS Sektor),,10.17
Nusa Tenggara Timur,Pertanian (BPS Sektor),,0.04354
Riau,Pertanian (BPS Sektor),,76.5
Sulawesi Selatan,Pertanian (BPS Sektor),,6.4
Sulawesi Tengah,Pertanian (BPS Sektor),,0.0088
Sulawesi Tenggara,Pertanian (BPS Sektor),,0.03
Sumatera Barat,Pertanian (BPS Sektor),,-10.9
Sumatera Selatan,Pertanian (BPS Sektor),,119.8
Sumatera Utara,Pertanian (BPS Sektor),,657.7
