provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,166.5
Bali,Pertanian (BPS Sektor),,60.4
Banten,Pertanian (BPS Sektor),,208.2
Bengkulu,Pertanian (BPS Sektor),,0.9
DI Yogyakarta,Pertanian (BPS Sektor),,5.5
DKI Jakarta,Pertanian (BPS Sektor),,534.3
Gorontalo,Pertanian (BPS Sektor),,-47.15
Jambi,Pertanian (BPS Sektor),,252.2
Jawa Barat,Pertanian (BPS Sektor),,-7.59
Jawa Tengah,Pertanian (BPS Sektor),,224.2
Jawa Timur,Pertanian (BPS Sektor),,1259.5
Kalimantan Barat,Pertanian (BPS Sektor),,111.7
Kalimantan Selatan,Pertanian (BPS Sektor),,8.0
Kalimantan Timur,Pertanian (BPS Sektor),,42.2
Kalimantan Utara,Pertanian (BPS Sektor),,37.7
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,61.5
Kepulauan Riau,Pertanian (BPS Sektor),,43.6
Lampung,Pertanian (BPS Sektor),,1018.3
Maluku,Pertanian (BPS Sektor),,29.5
Maluku Utara,Pertanian (BPS Sektor),,4.7
Nusa Tenggara Barat,Pertanian (BPS Sektor),,35.9
Nusa Tenggara Timur,Pertanian (BPS Sektor),,18.8
Papua Barat,Pertanian (BPS Sektor),,11.3
Papua Barat Daya,Pertanian (BPS Sektor),,10.7
Papua Tengah,Pertanian (BPS Sektor),,0.0
Riau,Pertanian (BPS Sektor),,260.8
Sulawesi Barat,Pertanian (BPS Sektor),,6.9
Sulawesi Tengah,Pertanian (BPS Sektor),,32.1
Sulawesi Tenggara,Pertanian (BPS Sektor),,4.7
Sulawesi Utara,Pertanian (BPS Sektor),,27.9
Sumatera Barat,Pertanian (BPS Sektor),,100.4
Sumatera Selatan,Pertanian (BPS Sektor),,90.8
Sumatera Utara,Pertanian (BPS Sektor),,621.2
