provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,129.9
Bali,Pertanian (BPS Sektor),,69.6
Banten,Pertanian (BPS Sektor),,71.2
Bengkulu,Pertanian (BPS Sektor),,9.3
DI Yogyakarta,Pertanian (BPS Sektor),,3.8
DKI Jakarta,Pertanian (BPS Sektor),,276.8
Gorontalo,Pertanian (BPS Sektor),,24.0
Jambi,Pertanian (BPS Sektor),,231.2
Jawa Barat,Pertanian (BPS Sektor),,117.2
Jawa Tengah,Pertanian (BPS Sektor),,162.0
Jawa Timur,Pertanian (BPS Sektor),,870.4
Kalimantan Barat,Pertanian (BPS Sektor),,80.6
Kalimantan Selatan,Pertanian (BPS Sektor),,1.5
Kalimantan Tengah,Pertanian (BPS Sektor),,3.1
Kalimantan Timur,Pertanian (BPS Sektor),,12.0
Kalimantan Utara,Pertanian (BPS Sektor),,73.0
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,42.3
Kepulauan Riau,Pertanian (BPS Sektor),,110.7
Lampung,Pertanian (BPS Sektor),,435.8
Maluku,Pertanian (BPS Sektor),,17.2
Maluku Utara,Pertanian (BPS Sektor),,3.4
Nusa Tenggara Barat,Pertanian (BPS Sektor),,8.8
Nusa Tenggara Timur,Pertanian (BPS Sektor),,28.4
Papua,Pertanian (BPS Sektor),,0.0001
Papua Barat,Pertanian (BPS Sektor),,11.6
Riau,Pertanian (BPS Sektor),,115.3
Sulawesi Barat,Pertanian (BPS Sektor),,14.2
Sulawesi Selatan,Pertanian (BPS Sektor),,187.4
Sulawesi Tengah,Pertanian (BPS Sektor),,27.1
Sulawesi Tenggara,Pertanian (BPS Sektor),,5.4
Sulawesi Utara,Pertanian (BPS Sektor),,28.8
Sumatera Barat,Pertanian (BPS Sektor),,71.8
Sumatera Selatan,Pertanian (BPS Sektor),,30.6
Sumatera Utara,Pertanian (BPS Sektor),,536.4
