provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,104.0
Bali,Pertanian (BPS Sektor),,41.8
Banten,Pertanian (BPS Sektor),,148.5
Bengkulu,Pertanian (BPS Sektor),,5.4
DI Yogyakarta,Pertanian (BPS Sektor),,3.1
DKI Jakarta,Pertanian (BPS Sektor),,403.4
Gorontalo,Pertanian (BPS Sektor),,25.2
Jambi,Pertanian (BPS Sektor),,211.0
Jawa Barat,Pertanian (BPS Sektor),,167.2
Jawa Tengah,Pertanian (BPS Sektor),,156.2
Jawa Timur,Pertanian (BPS Sektor),,853.6
Kalimantan Barat,Pertanian (BPS Sektor),,76.4
Kalimantan Selatan,Pertanian (BPS Sektor),,4.7
Kalimantan Tengah,Pertanian (BPS Sektor),,18.5
Kalimantan Timur,Pertanian (BPS Sektor),,18.1
Kalimantan Utara,Pertanian (BPS Sektor),,60.8
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,49.8
Kepulauan Riau,Pertanian (BPS Sektor),,122.0
Lampung,Pertanian (BPS Sektor),,648.3
Maluku,Pertanian (BPS Sektor),,18.4
Maluku Utara,Pertanian (BPS Sektor),,5.3
Nusa Tenggara Barat,Pertanian (BPS Sektor),,35.9
Nusa Tenggara Timur,Pertanian (BPS Sektor),,14.4
Papua,Pertanian (BPS Sektor),,0.4
Papua Barat,Pertanian (BPS Sektor),,14.9
Riau,Pertanian (BPS Sektor),,330.1
Sulawesi Barat,Pertanian (BPS Sektor),,18.2
Sulawesi Selatan,Pertanian (BPS Sektor),,338.4
Sulawesi Tengah,Pertanian (BPS Sektor),,16.7
Sulawesi Tenggara,Pertanian (BPS Sektor),,1.4
Sulawesi Utara,Pertanian (BPS Sektor),,36.0
Sumatera Barat,Pertanian (BPS Sektor),,89.3
Sumatera Selatan,Pertanian (BPS Sektor),,59.6
Sumatera Utara,Pertanian (BPS Sektor),,580.0
