provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,98.3
Bali,Pertanian (BPS Sektor),,50.4
Banten,Pertanian (BPS Sektor),,74.3
Bengkulu,Pertanian (BPS Sektor),,6.6
DI Yogyakarta,Pertanian (BPS Sektor),,3.7
DKI Jakarta,Pertanian (BPS Sektor),,480.8
Gorontalo,Pertanian (BPS Sektor),,8.9
Jambi,Pertanian (BPS Sektor),,207.5
Jawa Barat,Pertanian (BPS Sektor),,174.8
Jawa Tengah,Pertanian (BPS Sektor),,203.6
Jawa Timur,Pertanian (BPS Sektor),,781.6
Kalimantan Barat,Pertanian (BPS Sektor),,76.4
Kalimantan Selatan,Pertanian (BPS Sektor),,1.5
Kalimantan Tengah,Pertanian (BPS Sektor),,4.0
Kalimantan Timur,Pertanian (BPS Sektor),,19.3
Kalimantan Utara,Pertanian (BPS Sektor),,37.8
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,42.3
Kepulauan Riau,Pertanian (BPS Sektor),,122.0
Lampung,Pertanian (BPS Sektor),,468.7
Maluku,Pertanian (BPS Sektor),,16.0
Maluku Utara,Pertanian (BPS Sektor),,7.7
Nusa Tenggara Barat,Pertanian (BPS Sektor),,12.8
Nusa Tenggara Timur,Pertanian (BPS Sektor),,22.1
Papua,Pertanian (BPS Sektor),,0.0001
Papua Barat,Pertanian (BPS Sektor),,11.6
Riau,Pertanian (BPS Sektor),,196.6
Sulawesi Barat,Pertanian (BPS Sektor),,19.3
Sulawesi Selatan,Pertanian (BPS Sektor),,206.8
Sulawesi Tengah,Pertanian (BPS Sektor),,16.7
Sulawesi Tenggara,Pertanian (BPS Sektor),,1.4
Sulawesi Utara,Pertanian (BPS Sektor),,32.3
Sumatera Barat,Pertanian (BPS Sektor),,1017.0
Sumatera Selatan,Pertanian (BPS Sektor),,45.8
Sumatera Utara,Pertanian (BPS Sektor),,472.0
