provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,51894.9
Bali,Pertanian (BPS Sektor),,52.3
Banten,Pertanian (BPS Sektor),,17.4
Bengkulu,Pertanian (BPS Sektor),,10.1
DI Yogyakarta,Pertanian (BPS Sektor),,2.4
DKI Jakarta,Pertanian (BPS Sektor),,270.9
Gorontalo,Pertanian (BPS Sektor),,0.0135
Jambi,Pertanian (BPS Sektor),,201.8
Jawa Barat,Pertanian (BPS Sektor),,76.8
Jawa Tengah,Pertanian (BPS Sektor),,115.9
Jawa Timur,Pertanian (BPS Sektor),,734.2
Kalimantan Barat,Pertanian (BPS Sektor),,39.7
Kalimantan Selatan,Pertanian (BPS Sektor),,1.6
Kalimantan Tengah,Pertanian (BPS Sektor),,7.7
Kalimantan Timur,Pertanian (BPS Sektor),,35.6
Kalimantan Utara,Pertanian (BPS Sektor),,37.4
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,51.8
Kepulauan Riau,Pertanian (BPS Sektor),,109.4
Lampung,Pertanian (BPS Sektor),,743.5
Maluku,Pertanian (BPS Sektor),,8.4
Maluku Utara,Pertanian (BPS Sektor),,0.0016
Nusa Tenggara Barat,Pertanian (BPS Sektor),,9.7
Nusa Tenggara Timur,Pertanian (BPS Sektor),,28.1
Papua,Pertanian (BPS Sektor),,2.418
Papua Barat,Pertanian (BPS Sektor),,1.4
Riau,Pertanian (BPS Sektor),,80.0
Sulawesi Barat,Pertanian (BPS Sektor),,7.3
Sulawesi Selatan,Pertanian (BPS Sektor),,129.1
Sulawesi Tengah,Pertanian (BPS Sektor),,24.6
Sulawesi Tenggara,Pertanian (BPS Sektor),,4.8
Sulawesi Utara,Pertanian (BPS Sektor),,25.8
Sumatera Barat,Pertanian (BPS Sektor),,75.2
Sumatera Selatan,Pertanian (BPS Sektor),,90.3
Sumatera Utara,Pertanian (BPS Sektor),,601.4
