provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS HS01-24),2649106.945,1787.176093
Sumatera Barat,Pertanian (BPS HS01-24),464577.635,251.586623
Jambi,Pertanian (BPS HS01-24),901.198,0.88842
Sumatera Selatan,Pertanian (BPS HS01-24),105678.977,68.621636
Lampung,Pertanian (BPS HS01-24),1557126.422,1010.415746
Kepulauan Riau,Pertanian (BPS HS01-24),146944.706,586.155246
DKI Jakarta,Pertanian (BPS HS01-24),9589559.725,10009.144399
Jawa Tengah,Pertanian (BPS HS01-24),2379025.269,1443.924403
DI Yogyakarta,Pertanian (BPS HS01-24),0.725,0.048089
Jawa Timur,Pertanian (BPS HS01-24),12785136.644,8329.256395
Banten,Pertanian (BPS HS01-24),4194711.84,2172.453331
Bali,Pertanian (BPS HS01-24),41317.313,30.424705
Nusa Tenggara Barat,Pertanian (BPS HS01-24),30250.0,18.88074
Nusa Tenggara Timur,Pertanian (BPS HS01-24),227061.411,133.868689
Kalimantan Selatan,Pertanian (BPS HS01-24),9872.0,5.757152
Kalimantan Timur,Pertanian (BPS HS01-24),23835.068,13.829723
Kalimantan Utara,Pertanian (BPS HS01-24),13638.555,133.277255
Sulawesi Utara,Pertanian (BPS HS01-24),56898.297,39.109734
Sulawesi Tengah,Pertanian (BPS HS01-24),29922.75,18.638508
Sulawesi Selatan,Pertanian (BPS HS01-24),1540447.799,675.581244
Sulawesi Tenggara,Pertanian (BPS HS01-24),82500.0,50.748199
Gorontalo,Pertanian (BPS HS01-24),25000.0,16.92275
Maluku,Pertanian (BPS HS01-24),31250.0,19.1871
Papua Barat Daya,Pertanian (BPS HS01-24),18023.45,10.676781
Papua,Pertanian (BPS HS01-24),6697.115,4.501519
Papua Selatan,Pertanian (BPS HS01-24),195.223,0.027272
