provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,0.12990000000000002
Bali,Pertanian (BPS Sektor),,59.9
Banten,Pertanian (BPS Sektor),,17.4
Bengkulu,Pertanian (BPS Sektor),,6.6
DI Yogyakarta,Pertanian (BPS Sektor),,3.7
DKI Jakarta,Pertanian (BPS Sektor),,270.9
Gorontalo,Pertanian (BPS Sektor),,24.0
Jambi,Pertanian (BPS Sektor),,203.2
Jawa Barat,Pertanian (BPS Sektor),,86.4
Jawa Tengah,Pertanian (BPS Sektor),,203.6
Jawa Timur,Pertanian (BPS Sektor),,745.1
Kalimantan Barat,Pertanian (BPS Sektor),,30.6
Kalimantan Selatan,Pertanian (BPS Sektor),,1.5
Kalimantan Tengah,Pertanian (BPS Sektor),,18.1
Kalimantan Timur,Pertanian (BPS Sektor),,21.2
Kalimantan Utara,Pertanian (BPS Sektor),,69.5
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,59.0
Kepulauan Riau,Pertanian (BPS Sektor),,94.7
Lampung,Pertanian (BPS Sektor),,361.8
Maluku,Pertanian (BPS Sektor),,16.5
Maluku Utara,Pertanian (BPS Sektor),,0.5
Nusa Tenggara Barat,Pertanian (BPS Sektor),,36.0
Nusa Tenggara Timur,Pertanian (BPS Sektor),,35.3
Papua,Pertanian (BPS Sektor),,0.0009000000000000001
Papua Barat,Pertanian (BPS Sektor),,11.3
Riau,Pertanian (BPS Sektor),,106.1
Sulawesi Barat,Pertanian (BPS Sektor),,9.6
Sulawesi Selatan,Pertanian (BPS Sektor),,179.4
Sulawesi Tengah,Pertanian (BPS Sektor),,25.9
Sulawesi Tenggara,Pertanian (BPS Sektor),,4.5
Sulawesi Utara,Pertanian (BPS Sektor),,25.8
Sumatera Barat,Pertanian (BPS Sektor),,67.7
Sumatera Selatan,Pertanian (BPS Sektor),,43.9
Sumatera Utara,Pertanian (BPS Sektor),,0.5822999999999999
